ID,Layer Name,Content,Replace_English,Replace_Japanese,Replace_Simplified Chinese,Replace_Traditional Chinese
I1408:15545;1407:15566,버튼,서강대생으로 시작하기,Start as a Sogang Student,西江大生として始める,以西江大学学生身份开始,以西江大學學生身分開始
I1408:15547;1407:15566,버튼,외부인으로 시작하기,Start as a Guest,外部参加者として始める,以校外访客身份开始,以校外訪客身分開始
I1430:12679;201:2501,메인 문구,회원가입을 진행할게요.,Let’s create your account.,会員登録を進めます。,我们来创建你的账号。,我們來建立你的帳號。
I1430:12679;201:2502,서브 문구,만나서 반가워요!,Nice to meet you!,はじめまして！,很高兴见到你！,很高興見到你！
"I1499:18764;1499:18640[I1378:15963;1378:15959,I1780:17347;1378:15959,I1780:17421;1378:15959,I1780:17495;1378:15959,I1780:17621;1378:15959,I1780:17696;1378:15959,I1780:17770;1378:15959]",App Bar,회원가입,Sign Up,会員登録,注册,註冊
"I1745:19550;1408:15555[I1745:19544;1408:15555,I1745:19548;1408:15555,I1745:19546;1408:15555,I1745:19554;1408:15555,I1745:19558;1407:15566,I2313:19684;1407:15566,I1408:15558;1408:15555,I1745:19552;1407:15566,I1745:19560;1408:15555,I1745:19556;1408:15555,I1745:19562;1408:15555,I1745:19488;1408:15555,I1745:19494;1408:15555,I1745:19486;1408:15555,I1745:19492;1408:15555,I1745:19496;1407:15566,I1745:19490;1407:15566,I1745:19498;1408:15555,I1745:19500;1408:15555,I1745:19484;1408:15555,I1745:19504;1408:15555,I1745:19506;1408:15555,I1745:19502;1408:15555,I1745:19508;1408:15555,I1745:19510;1408:15555,I1745:19512;1407:15566]",버튼,계속하기,Continue,続ける,继续,繼續
"I1309:9465;201:2501[I1390:16960;201:2501,I1390:17136;201:2501,I1390:17667;201:2501,I1390:17843;201:2501,I1390:18021;201:2501,I2313:19688;201:2501]",메인 문구,이름과 기타 정보를 입력해주세요.,Please enter your name and other information.,名前とその他の情報を入力してください。,请输入姓名和其他信息。,請輸入姓名和其他資訊。
"I1309:9465;201:2502[I1390:16960;201:2502,I1390:17136;201:2502,I1390:17667;201:2502,I1390:17843;201:2502,I1390:18021;201:2502,I2313:19688;201:2502]",서브 문구,사용자님에 대해서 알려주세요.,Tell us about yourself.,あなたについて教えてください。,请告诉我们关于你的信息。,請告訴我們關於你的資訊。
"I1390:16713;1390:16048[I1390:16963;1390:16048,I1390:17139;1390:16048,I1390:17670;1390:16048,I1390:17846;1390:16048,I1390:18024;1390:16048,I2313:19690;1390:16048]",레이블,이름,Name,名前,姓名,姓名
"I1390:16713;1390:16050[I1390:16963;1390:16050,I1390:17139;1390:16050,I1390:17670;1390:16050,I1390:17846;1390:16050,I1390:18024;1390:16050,I2313:19690;1390:16050]",부가 설명,실명을 입력해주세요.,Please enter your real name.,実名を入力してください。,请输入真实姓名。,請輸入真實姓名。
I1390:16713;1390:16052;1378:15984,텍스트,이름을 입력해주세요.,Please enter your name.,名前を入力してください。,请输入姓名。,請輸入姓名。
"I1390:16732;1381:11583[I1390:16964;1381:11583,I1390:17140;1381:11583,I1390:17671;1381:11583,I1390:17847;1381:11583,I1390:18025;1381:11583,I2313:19691;1381:11583]",레이블,성별,Gender,性別,性别,性別
"I1390:16732;1389:11614;1381:11607[I1390:16964;1389:11614;1381:11607,I1390:17140;1389:11614;1389:11613,I1390:17671;1389:11614;1389:11613,I1390:17847;1389:11614;1389:11613,I1390:18025;1389:11614;1389:11613,I2313:19691;1389:11614;1389:11613]",선택지,남성,Male,男性,男,男
"I1390:16732;1389:11620;1381:11607[I1390:16964;1389:11620;1381:11607,I1390:17140;1389:11620;1381:11607,I1390:17671;1389:11620;1381:11607,I1390:17847;1389:11620;1381:11607,I1390:18025;1389:11620;1381:11607,I2313:19691;1389:11620;1381:11607]",선택지,여성,Female,女性,女,女
"I1390:16758;1390:16048[I1390:16965;1390:16048,I1390:17141;1390:16048,I1390:17672;1390:16048,I1390:17848;1390:16048,I1390:18026;1390:16048,I2313:19692;1390:16048]",레이블,생일,Date of Birth,生年月日,出生日期,出生日期
"I1390:16758;1390:16052;1378:15984[I1390:16965;1390:16052;1378:15984,I1390:17141;1390:16052;1378:15984]",텍스트,8자리 숫자로 입력해주세요.,Please enter 8 digits.,8桁の数字で入力してください。,请输入8位数字。,請輸入8位數字。
"I1390:16769;1390:16048[I1390:16966;1390:16048,I1390:17142;1390:16048,I1390:17673;1390:16048,I1390:17849;1390:16048,I1390:18027;1390:16048,I2313:19693;1390:16048]",레이블,국적,Nationality,国籍,国籍,國籍
"I1390:16769;1390:16050[I1390:16966;1390:16050,I1390:17142;1390:16050,I1390:17673;1390:16050,I1390:17849;1390:16050,I1390:18027;1390:16050,I2313:19693;1390:16050]",부가 설명,이중국적인 경우 하나만 선택해주세요.,"If you have dual nationality, please select one.",二重国籍の場合は1つだけ選択してください。,如有双重国籍，请选择其中一个。,如有雙重國籍，請選擇其中一個。
"I1390:16769;1390:16052;1378:15984[I1390:16966;1390:16052;1378:15984,I1390:17142;1390:16052;1378:15984,I1390:17673;1390:16052;1378:15984,I1309:8091;1309:8437,I1309:8092;1309:8437,I1728:14158;1309:8437,I1728:14159;1309:8437,I1309:8723;1240:15079,I1309:8724;1240:15079,I1309:9105;1240:15079,I1309:9106;1240:15079,I1309:8914;1240:15079,I1309:8915;1240:15079]",텍스트,선택,Select,選択,选择,選擇
"I1499:18852;1499:18640[I1499:18863;1499:18640,I1499:18865;1499:18640,I1499:18864;1499:18640,I1499:18867;1499:18640,I1499:18866;1499:18640,I2313:19685;1499:18640]",App Bar,이름 및 기타 정보,Name and Other Information,名前・その他の情報,姓名及其他信息,姓名及其他資訊
"I1390:16963;1390:16052;1378:15984[I1390:17139;1390:16052;1378:15984,I1390:17670;1390:16052;1378:15984,I1390:17846;1390:16052;1378:15984,I1390:18024;1390:16052;1378:15984,I2313:19690;1390:16052;1378:15984]",텍스트,홍길동,Hong Gil-dong,ホン・ギルドン,洪吉童,洪吉童
"I1390:17849;1390:16052;1378:15984[1240:15488,1240:15707,1240:15710,1240:15713,1240:15716,1240:15719,1240:15723,1240:15726,1240:15741,1240:15744,1240:15747,I1390:18027;1390:16052;1378:15984,I2313:19693;1390:16052;1378:15984]",텍스트,대한민국,South Korea,韓国,韩国,韓國
1240:15686,가나,가나,Ghana,ガーナ,加纳,迦納
1240:15689,나이지리아,나이지리아,Nigeria,ナイジェリア,尼日利亚,奈及利亞
1240:15692,덴마크,덴마크,Denmark,デンマーク,丹麦,丹麥
